2024-10-05 15:04:02,954 - INFO - Successfully created polyanets at (16, 6)
2024-10-05 15:04:04,121 - INFO - Successfully created polyanets at (16, 7)
2024-10-05 15:04:05,279 - INFO - Successfully created soloons at (16, 8)
2024-10-05 15:04:06,440 - INFO - Successfully created polyanets at (16, 12)
2024-10-05 15:04:07,670 - INFO - Successfully created polyanets at (16, 14)
2024-10-05 15:04:08,869 - INFO - Successfully created polyanets at (16, 19)
2024-10-05 15:04:10,038 - INFO - Successfully created polyanets at (16, 20)
2024-10-05 15:04:11,195 - INFO - Successfully created soloons at (16, 21)
2024-10-05 15:04:12,366 - INFO - Successfully created polyanets at (17, 5)
2024-10-05 15:04:13,566 - INFO - Successfully created polyanets at (17, 11)
2024-10-05 15:04:14,706 - INFO - Successfully created soloons at (17, 14)
2024-10-05 15:04:15,866 - INFO - Successfully created polyanets at (17, 15)
2024-10-05 15:04:17,037 - INFO - Successfully created polyanets at (17, 21)
2024-10-05 15:04:18,330 - INFO - Successfully created comeths at (17, 24)
2024-10-05 15:04:19,488 - INFO - Successfully created polyanets at (18, 5)
2024-10-05 15:04:20,643 - INFO - Successfully created soloons at (18, 6)
2024-10-05 15:04:21,809 - INFO - Successfully created polyanets at (18, 11)
2024-10-05 15:04:22,997 - INFO - Successfully created polyanets at (18, 15)
2024-10-05 15:04:24,147 - INFO - Successfully created polyanets at (18, 21)
2024-10-05 15:04:25,323 - INFO - Successfully created soloons at (18, 22)
2024-10-05 15:04:26,507 - INFO - Successfully created polyanets at (19, 4)
2024-10-05 15:04:27,676 - INFO - Successfully created polyanets at (19, 10)
2024-10-05 15:04:28,938 - INFO - Successfully created soloons at (19, 11)
2024-10-05 15:04:30,088 - INFO - Successfully created polyanets at (19, 16)
2024-10-05 15:04:31,295 - INFO - Successfully created polyanets at (19, 22)
2024-10-05 15:04:32,453 - INFO - Successfully created comeths at (20, 0)
2024-10-05 15:04:33,630 - INFO - Successfully created polyanets at (20, 4)
2024-10-05 15:04:34,795 - INFO - Successfully created polyanets at (20, 10)
2024-10-05 15:04:35,952 - INFO - Successfully created polyanets at (20, 16)
2024-10-05 15:04:37,127 - INFO - Successfully created polyanets at (20, 22)
2024-10-05 15:04:38,279 - INFO - Successfully created polyanets at (21, 3)
2024-10-05 15:04:39,441 - INFO - Successfully created polyanets at (21, 8)
2024-10-05 15:04:40,630 - INFO - Successfully created polyanets at (21, 9)
2024-10-05 15:04:41,784 - INFO - Successfully created soloons at (21, 10)
2024-10-05 15:04:43,005 - INFO - Successfully created soloons at (21, 16)
2024-10-05 15:04:44,160 - INFO - Successfully created polyanets at (21, 17)
2024-10-05 15:04:45,307 - INFO - Successfully created polyanets at (21, 18)
2024-10-05 15:04:46,540 - INFO - Successfully created soloons at (21, 19)
2024-10-05 15:04:47,728 - INFO - Successfully created polyanets at (21, 23)
2024-10-05 15:04:48,904 - INFO - Successfully created polyanets at (22, 3)
2024-10-05 15:04:50,107 - INFO - Successfully created soloons at (22, 5)
2024-10-05 15:04:51,257 - INFO - Successfully created polyanets at (22, 6)
2024-10-05 15:04:52,439 - INFO - Successfully created polyanets at (22, 7)
2024-10-05 15:04:53,601 - INFO - Successfully created soloons at (22, 8)
2024-10-05 15:04:54,760 - INFO - Successfully created comeths at (22, 14)
2024-10-05 15:04:55,929 - INFO - Successfully created polyanets at (22, 19)
2024-10-05 15:04:57,110 - INFO - Successfully created polyanets at (22, 20)
2024-10-05 15:04:58,255 - INFO - Successfully created polyanets at (22, 23)
2024-10-05 15:04:59,413 - INFO - Successfully created soloons at (22, 24)
2024-10-05 15:05:00,632 - INFO - Successfully created comeths at (22, 27)
2024-10-05 15:05:01,833 - INFO - Successfully created polyanets at (23, 2)
2024-10-05 15:05:03,104 - INFO - Successfully created polyanets at (23, 4)
2024-10-05 15:05:04,288 - INFO - Successfully created polyanets at (23, 5)
2024-10-05 15:05:05,450 - INFO - Successfully created polyanets at (23, 21)
2024-10-05 15:05:06,599 - INFO - Successfully created polyanets at (23, 22)
2024-10-05 15:05:07,844 - INFO - Successfully created polyanets at (23, 24)
2024-10-05 15:05:09,076 - INFO - Successfully created polyanets at (24, 2)
2024-10-05 15:05:10,285 - INFO - Successfully created polyanets at (24, 3)
2024-10-05 15:05:11,475 - INFO - Successfully created comeths at (24, 12)
2024-10-05 15:05:12,644 - INFO - Successfully created polyanets at (24, 23)
2024-10-05 15:05:13,790 - INFO - Successfully created polyanets at (24, 24)
2024-10-05 15:05:14,970 - INFO - Successfully created comeths at (26, 3)
2024-10-05 15:05:16,184 - INFO - Successfully created comeths at (26, 15)
2024-10-05 15:05:17,570 - INFO - Successfully created comeths at (26, 26)
2024-10-05 15:05:18,744 - INFO - Successfully created comeths at (27, 5)
2024-10-05 15:05:19,934 - INFO - Successfully created comeths at (28, 10)
2024-10-05 15:05:21,117 - INFO - Successfully created comeths at (28, 20)
